Pagina,Apparaatcategorie,Besturingssysteem,Browser,Browserversie,Unieke paginaweergaves
/templates/bestellen.asp,mobile,Windows,Internet Explorer,11.0,7
/templates/winkelwagen.asp,desktop,Macintosh,Safari,8.0.3,7
/templates/winkelwagen.asp,desktop,Windows,Chrome,33.0.1750.154,7
/templates/winkelwagen.asp,desktop,Windows,Chrome,34.0.1847.137,7
/templates/winkelwagen.asp,desktop,Windows,Chrome,46.0.2490.80,7
/templates/winkelwagen.asp,desktop,Windows,Firefox,35.0,7
/templates/winkelwagen.asp,desktop,Windows,Firefox,36.0,7
/shop/checkout.asp,desktop,Macintosh,Safari,6.1.6,6
/shop/checkout.asp,desktop,Windows,Chrome,33.0.1750.154,6
/shop/checkout.asp,desktop,Windows,Chrome,40.0.2214.111,6
/shop/checkout.asp,desktop,Windows,Chrome,46.0.2490.80,6
/shop/checkout.asp,desktop,Windows,Chrome,49.0.2623.110,6
/shop/checkout.asp,desktop,Windows,Firefox,30.0,6
/shop/checkout.asp,desktop,Windows,Firefox,31.0,6
/shop/checkout.asp,desktop,Windows,Firefox,44.0,6
/shop/checkout.asp,desktop,Windows,Firefox,45.0,6
/shop/checkout.asp,tablet,Android,Android Browser,4.0,6
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,34.0.1847.131,6
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,49.0.2623.112,6
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,49.0.2623.87,6
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,33.0.1750.154,6
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,38.0.2125.104,6
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,40.0.2214.111,6
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,44.0.2403.157,6
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,48.0.2564.109,6
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,31.0,6
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,45.0,6
/shop/selectpaymentmethod.asp,tablet,Android,Android Browser,4.0,6
/templates/bestellen.asp,desktop,Macintosh,Safari,7.0.6,6
/templates/bestellen.asp,desktop,Windows,Chrome,39.0.2171.65,6
/templates/bestellen.asp,desktop,Windows,Chrome,43.0.2357.130,6
/templates/bestellen.asp,desktop,Windows,Chrome,43.0.2357.132,6
/templates/bestellen.asp,desktop,Windows,Chrome,45.0.2454.85,6
/templates/winkelwagen.asp,desktop,Macintosh,Safari,5.1.9,6
/templates/winkelwagen.asp,desktop,Macintosh,Safari,7.0.6,6
/templates/winkelwagen.asp,desktop,Windows,Chrome,39.0.2171.99,6
/templates/winkelwagen.asp,desktop,Windows,Firefox,34.0,6
/templates/winkelwagen.asp,mobile,Windows,Internet Explorer,11.0,6
/shop/checkout.asp,desktop,Macintosh,Safari,5.1.9,5
/shop/checkout.asp,desktop,Windows,Chrome,42.0.2311.90,5
/shop/checkout.asp,desktop,Windows,Chrome,46.0.2490.86,5
/shop/checkout.asp,desktop,Windows,Firefox,32.0,5
/shop/checkout.asp,desktop,Windows,Firefox,34.0,5
/shop/checkout.asp,desktop,Windows,Firefox,35.0,5
/shop/checkout.asp,desktop,Windows,Firefox,43.0,5
/shop/checkout.asp,desktop,Windows,Internet Explorer,7.0,5
/shop/psp/IDEC/cfm.asp,desktop,Macintosh,Safari,6.1.6,5
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,38.0.2125.104,5
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,41.0.2272.101,5
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,43.0.2357.124,5
/shop/psp/IDEC/cfm.asp,desktop,Windows,Firefox,33.0,5
/shop/psp/IDEC/cfm.asp,desktop,Windows,Firefox,42.0,5
/shop/selectpaymentmethod.asp,desktop,Macintosh,Safari,5.1.9,5
/shop/selectpaymentmethod.asp,desktop,Macintosh,Safari,6.1.6,5
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,42.0.2311.90,5
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,46.0.2490.80,5
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,46.0.2490.86,5
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,49.0.2623.110,5
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,32.0,5
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,34.0,5
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,35.0,5
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,44.0,5
/shop/selectpaymentmethod.asp,desktop,Windows,Internet Explorer,7.0,5
/templates/bestellen.asp,desktop,Windows,Chrome,40.0.2214.94,5
/templates/bestellen.asp,desktop,Windows,Chrome,41.0.2272.89,5
/templates/bestellen.asp,desktop,Windows,Chrome,44.0.2403.130,5
/templates/bestellen.asp,desktop,Windows,Chrome,44.0.2403.155,5
/templates/bestellen.asp,mobile,Android,Android Browser,4.0,5
/templates/winkelwagen.asp,desktop,Windows,Chrome,43.0.2357.130,5
/templates/winkelwagen.asp,desktop,Windows,Chrome,43.0.2357.132,5
